Rainfall_24h_mm,Rainfall_3Day_mm,Rainfall_7Day_mm,Slope_Angle_deg,Elevation_m,Aspect_deg,Soil_Saturation,Vegetation_Cover,NDVI_Index,Distance_to_Water_m,Distance_to_Road_m,Temperature_C,Humidity_percent,Clay_Content_pct,Sand_Content_pct,Silt_Content_pct,Soil_Erosion_Rate_t_ha_yr,Pore_Water_Pressure_kPa,Soil_Moisture_Content,Earthquake_Activity,Landslide
37.215423,224.44878,326.323943,47.567583,350.537717,117.406851,0.324123,0.547378,0.513797,70.177956,12.840665,18.723394,100.0,34.538504,10.0,57.423729,3.024373,88.45047,0.204351,1.671516,0
41.664038,127.537703,205.042954,29.138314,629.342822,309.840288,0.328925,0.621324,0.539048,213.754794,93.298073,11.40541,100.0,46.090774,40.579481,9.363518,7.489115,89.254351,0.153062,0.069705,0
18.401212,55.675739,185.498231,52.222886,1036.000553,3.782468,0.402296,0.020598,0.060729,52.234273,212.13977,36.236706,85.605411,20.811783,10.0,60.0,10.778217,119.682752,0.296311,0.264589,1
72.52737,202.525331,520.867093,43.355242,585.840007,156.978944,0.436572,0.445501,0.385411,432.512364,333.328935,22.169351,100.0,11.691847,42.115246,43.422152,19.259526,124.670296,0.160085,0.933935,0
83.439854,336.965817,792.177313,10.179754,760.81678,339.422284,0.724907,0.479499,0.544183,117.415633,21.27339,9.634831,100.0,20.690325,29.24005,42.249995,7.867173,140.758125,0.331299,0.077454,0
13.772951,110.060092,428.032762,58.659229,1120.679346,195.349088,0.453313,0.470828,0.5058,47.370977,826.722313,25.731517,100.0,52.165307,48.126749,5.0,5.282719,82.316067,0.239737,2.03442,0
112.82571,314.384541,554.008982,46.862684,725.613659,162.160484,0.640893,0.232586,0.321508,405.956454,186.182226,13.889619,100.0,10.0,10.0,60.0,6.706864,154.784764,0.285244,0.177522,1
29.313334,220.564697,407.1783,48.233537,1013.029795,112.45313,0.449413,0.661841,0.649019,245.977913,227.247294,31.624687,100.0,43.484245,53.147702,6.638107,1.008571,96.154363,0.240614,5.02217,0
41.074233,144.987415,462.396253,12.04625,1696.364228,26.608547,0.48032,0.731065,0.724387,22.251401,215.203771,31.261458,100.0,35.136194,38.169772,22.891412,8.039256,96.036321,0.198658,3.293272,0
96.25321,276.421751,1000.0,29.771227,814.070601,80.815132,0.795063,0.518722,0.487,13.345335,10.372685,22.555462,100.0,36.396575,30.506384,36.620319,8.039499,149.638587,0.330285,0.928108,0
41.407262,82.401268,297.278299,25.393891,1489.668905,32.565028,0.239381,0.202679,0.177995,245.021216,33.415913,17.309375,100.0,45.191034,46.370296,12.274456,6.752445,61.231148,0.115346,0.444376,0
23.180556,112.361171,372.389317,55.972074,1179.685034,45.611795,0.435799,0.790882,0.733029,34.208111,46.15853,26.879445,100.0,23.787757,45.125636,26.729799,7.422904,76.346237,0.223545,0.580589,0
